Period,UNEMP,Months of Supply,Homes for Sale,Homes for Sale NE,Mortgage Rate,Permits-Valuation,Permits-Valuation NE,Permits-Number,Permits-Number NE,Housing Starts,Housing Starts NE,CONST,Consumption,Disposable Income,Savings,Fed Funds Rate,Homes Sold,Homes Sold NE,GDP Monthly Index
1/1/1993,7.3,5.4,265,49,7.99,6010.26,625.23,67.1,6.9,1091,127,194150,4340.7,7237.6,425.6,1208.0,596,53,99.7515774138274
2/1/1993,7.1,5.3,263,48,7.68,6359.65,626.13,73.1,7.1,1063,109,194689,4355.3,7271.8,441.5,1272.0,604,68,99.6714129362474
3/1/1993,7,5.4,268,48,7.5,8938.94,836,99.1,9.1,950,84,190185,4352.5,7249.2,439.0,1532.0,602,53,99.5910950732639
4/1/1993,7.1,4.7,270,46,7.47,9664.7,1058.62,107.3,11.4,1110,111,198296,4393.4,7286.8,436.4,1204.0,701,102,99.5186869881137
5/1/1993,7.1,5.3,273,47,7.47,9050.01,1145.62,101.7,12.3,1128,107,198835,4422.4,7276.3,415.8,1208.0,626,68,99.4598292813747
6/1/1993,7,5.2,276,48,7.42,10519.76,1248.12,117.8,14,1081,118,203175,4440.0,7262.9,390.9,1568.0,653,66,99.4203485807455
7/1/1993,6.9,5.3,278,48,7.21,9498.59,1132.06,104.5,12.1,1086,116,208760,4468.9,7281.2,382.7,1228.0,655,59,99.4077225965980
8/1/1993,6.8,5.5,286,49,7.11,9938.63,1154.23,111.9,12.4,1162,120,212238,4481.1,7291.8,386.5,1276.0,645,56,99.4289939553997
9/1/1993,6.7,4.9,290,51,6.92,9850.55,1143.5,111.5,12.3,1143,132,214446,4511.5,7271.9,347.5,1596.0,726,60,99.4865982778584
10/1/1993,6.8,5,291,51,6.83,9493.88,1166.92,107,13.2,1209,118,214778,4532.8,7236.4,315.9,1212.0,704,57,99.5715629955908
11/1/1993,6.6,4.8,293,52,7.16,8823.46,1067.75,98.1,11.4,1228,122,227235,4554.1,7256.4,317.6,1264.0,769,53,99.6713004437685
12/1/1993,6.5,4.5,295,53,7.17,8652.52,997.83,100.1,11.4,1316,115,235648,4571.1,7503.7,472.7,1140.0,812,51,99.7751952370424
1/1/1994,6.6,5.9,294,52,7.06,7109.07,491.1,80.7,5,1140,100,238612,4585.1,7363.1,362.4,1472.0,619,50,99.8789204628831
