Period,HPI
1/1/1993,76.783
2/1/1993,76.836
3/1/1993,76.867
4/1/1993,76.935
5/1/1993,77.037
6/1/1993,77.241
7/1/1993,77.427
8/1/1993,77.611
9/1/1993,77.793
10/1/1993,77.941
11/1/1993,78.148
12/1/1993,78.324
1/1/1994,78.59
2/1/1994,78.726
3/1/1994,78.855
4/1/1994,78.986
5/1/1994,79.22
6/1/1994,79.421
7/1/1994,79.594
8/1/1994,79.781
9/1/1994,79.918
10/1/1994,80.064
11/1/1994,80.149
12/1/1994,80.295
1/1/1995,80.425
2/1/1995,80.527
3/1/1995,80.597
4/1/1995,80.66
5/1/1995,80.703
6/1/1995,80.784
7/1/1995,80.937
8/1/1995,81.109
9/1/1995,81.305
10/1/1995,81.481
11/1/1995,81.618
12/1/1995,81.735
1/1/1996,81.833
2/1/1996,81.952
3/1/1996,82.193
4/1/1996,82.42
5/1/1996,82.609
6/1/1996,82.751
7/1/1996,82.927
8/1/1996,83.086
9/1/1996,83.256
10/1/1996,83.376
11/1/1996,83.552
12/1/1996,83.721
1/1/1997,83.954
2/1/1997,84.179
3/1/1997,84.45
4/1/1997,84.622
5/1/1997,84.86
6/1/1997,85.079
7/1/1997,85.331
8/1/1997,85.572
9/1/1997,85.849
10/1/1997,86.145
11/1/1997,86.631
12/1/1997,87.092
1/1/1998,87.614
2/1/1998,88.002
3/1/1998,88.441
4/1/1998,88.877
5/1/1998,89.362
6/1/1998,89.843
7/1/1998,90.308
8/1/1998,90.784
9/1/1998,91.258
10/1/1998,91.717
11/1/1998,92.199
12/1/1998,92.711
1/1/1999,93.207
2/1/1999,93.67
3/1/1999,94.215
4/1/1999,94.784
5/1/1999,95.344
6/1/1999,95.974
7/1/1999,96.591
8/1/1999,97.219
9/1/1999,97.862
10/1/1999,98.523
11/1/1999,99.155
12/1/1999,99.845
1/1/2000,100.552
2/1/2000,101.339
3/1/2000,102.127
4/1/2000,102.922
5/1/2000,103.676
6/1/2000,104.423
7/1/2000,105.054
8/1/2000,105.767
9/1/2000,106.537
10/1/2000,107.381
11/1/2000,108.3
12/1/2000,109.138
1/1/2001,109.844
2/1/2001,110.498
3/1/2001,111.106
4/1/2001,111.65
5/1/2001,112.162
6/1/2001,112.795
7/1/2001,113.491
8/1/2001,114.166
9/1/2001,114.811
10/1/2001,115.308
11/1/2001,115.854
12/1/2001,116.452
1/1/2002,117.142
2/1/2002,117.844
3/1/2002,118.686
4/1/2002,119.61
5/1/2002,120.723
6/1/2002,121.812
7/1/2002,122.886
8/1/2002,123.829
9/1/2002,124.778
10/1/2002,125.734
11/1/2002,126.668
12/1/2002,127.622
1/1/2003,128.46
2/1/2003,129.355
3/1/2003,130.147
4/1/2003,130.884
5/1/2003,131.734
6/1/2003,132.648
7/1/2003,133.775
8/1/2003,134.967
9/1/2003,136.293
10/1/2003,137.532
11/1/2003,138.793
12/1/2003,140.18
1/1/2004,141.647
2/1/2004,143.192
3/1/2004,145.058
4/1/2004,146.591
5/1/2004,148.184
6/1/2004,149.849
7/1/2004,151.337
8/1/2004,152.632
9/1/2004,154.178
10/1/2004,155.75
11/1/2004,157.527
12/1/2004,159.33
1/1/2005,161.288
2/1/2005,163.344
3/1/2005,165.812
4/1/2005,167.501
5/1/2005,169.351
6/1/2005,171.19
7/1/2005,172.859
8/1/2005,174.44
9/1/2005,176.437
10/1/2005,178.027
11/1/2005,179.682
12/1/2005,180.91
1/1/2006,182.32
2/1/2006,183.286
3/1/2006,184.363
4/1/2006,184.328
5/1/2006,184.156
6/1/2006,183.507
7/1/2006,183.067
8/1/2006,182.594
9/1/2006,182.799
10/1/2006,183.199
11/1/2006,183.61
12/1/2006,184.14
1/1/2007,184.516
2/1/2007,184.598
3/1/2007,184.15
4/1/2007,183.009
5/1/2007,181.601
6/1/2007,180.255
7/1/2007,179.112
8/1/2007,178.119
9/1/2007,177.559
10/1/2007,176.625
11/1/2007,175.146
12/1/2007,174.342
1/1/2008,173.133
2/1/2008,171.542
3/1/2008,170.055
4/1/2008,168.339
5/1/2008,166.659
6/1/2008,165.018
7/1/2008,163.568
8/1/2008,161.989
9/1/2008,160.309
10/1/2008,158.328
11/1/2008,156.141
12/1/2008,153.617
1/1/2009,151.503
2/1/2009,150.01
3/1/2009,148.658
4/1/2009,147.948
5/1/2009,147.694
6/1/2009,148.088
7/1/2009,148.409
8/1/2009,148.275
9/1/2009,148.022
10/1/2009,147.847
11/1/2009,148.132
12/1/2009,147.928
1/1/2010,147.395
2/1/2010,145.632
3/1/2010,145.859
4/1/2010,146.399
5/1/2010,146.389
6/1/2010,145.716
7/1/2010,144.987
8/1/2010,143.91
9/1/2010,143.015
10/1/2010,142.528
11/1/2010,142.173
12/1/2010,142.063
1/1/2011,141.527
2/1/2011,140.355
3/1/2011,139.987
4/1/2011,140.012
5/1/2011,139.905
6/1/2011,139.862
7/1/2011,139.731
8/1/2011,139.308
9/1/2011,138.667
10/1/2011,137.951
11/1/2011,137.151
12/1/2011,136.673
1/1/2012,136.605
2/1/2012,136.53
3/1/2012,137.905
