,solddate,price,beds,baths,sqft,sqftlot,href
,"Sold - Sep 13, 2022","$650,000",3bed,2.5bath,"2,122sqft",1.38acre lot,/realestateandhomes-detail/4-Pheasant-Pl_Carmel_NY_10512_M40915-44958
,"Sold - Sep 13, 2022","$675,000",4bed,3bath,"2,769sqft",1.43acre lot,/realestateandhomes-detail/317-W-Shore-Dr_Carmel_NY_10512_M30537-88885
,"Sold - Sep 8, 2022","$630,000",3bed,2.5bath,"2,531sqft",1.04acre lot,/realestateandhomes-detail/80-Drovers-Ln_Brewster_NY_10509_M30283-65288
"Image for 56 Glenvue Dr, Carmel, NY 10512 is not found","Sold - Sep 8, 2022","$645,000",3bed,2.5bath,"2,688sqft",1.21acre lot,/realestateandhomes-detail/56-Glenvue-Dr_Carmel_NY_10512_M36797-19027
"Image for 64 Queens Way, Mahopac, NY 10541 is not found","Sold - Sep 8, 2022","$549,000",3bed,2.5bath,"2,032sqft",2.93acre lot,/realestateandhomes-detail/64-Queens-Way_Mahopac_NY_10541_M40892-60363
"Image for 63 Hillside Ter, Mahopac, NY 10541 is not found","Sold - Sep 7, 2022","$650,000",4bed,3bath,"2,489sqft",3.55acre lot,/realestateandhomes-detail/63-Hillside-Ter_Mahopac_NY_10541_M49140-67468
"Image for 96 Tanglewylde Rd, Lake Peekskill, NY 10537 is not found","Sold - Sep 7, 2022","$390,000",2bed,1bath,"1,440sqft",1.01acre lot,/realestateandhomes-detail/96-Tanglewylde-Rd_Lake-Peekskill_NY_10537_M38442-02674
"Image for 9 Sturges Rd, Newtown, CT 06470 is not found","Sold - Sep 2, 2022","$620,000",4bed,2bath,"2,745sqft",2.01acre lot,/realestateandhomes-detail/9-Sturges-Rd_Newtown_CT_06470_M31210-29912
"Image for 1 Wedgewood Ct, Newtown, CT 06470 is not found","Sold - Sep 2, 2022","$700,000",4bed,3.5bath,"3,316sqft",2.46acre lot,/realestateandhomes-detail/1-Wedgewood-Ct_Newtown_CT_06470_M30025-27548
"Image for 3 Stony Hill Ter, Ridgefield, CT 06877 is not found","Sold - Sep 2, 2022","$789,000",4bed,1.5bath,"1,924sqft",1.02acre lot,/realestateandhomes-detail/3-Stony-Hill-Ter_Ridgefield_CT_06877_M42208-33780
"Image for 17 Old Stagecoach Rd, Redding, CT 06896 is not found","Sold - Sep 1, 2022","$632,000",3bed,2.5bath,"2,367sqft",2acre lot,/realestateandhomes-detail/17-Old-Stagecoach-Rd_Redding_CT_06896_M43680-71519
"Image for 95 Peaceable St, Redding, CT 06896 is not found","Sold - Sep 1, 2022","$555,000",3bed,1bath,"1,393sqft",2.8acre lot,/realestateandhomes-detail/95-Peaceable-St_Redding_CT_06896_M46696-56751
"Image for 62 Bob Hill Rd, Ridgefield, CT 06877 is not found","Sold - Sep 1, 2022","$630,000",3bed,2bath,"1,594sqft",1.06acre lot,/realestateandhomes-detail/62-Bob-Hill-Rd_Ridgefield_CT_06877_M48830-01123
"Image for 3 Happy Hill Rd, Stamford, CT 06903 is not found","Sold - Sep 1, 2022","$800,000",4bed,3bath,"3,010sqft",1acre lot,/realestateandhomes-detail/3-Happy-Hill-Rd_Stamford_CT_06903_M32627-06986
"Image for 44 Highview Dr, Ridgefield, CT 06877 is not found","Sold - Aug 30, 2022","$765,000",4bed,1.5bath,"1,858sqft",1.3acre lot,/realestateandhomes-detail/44-Highview-Dr_Ridgefield_CT_06877_M31541-14029
"Image for 96 Erickson Dr, Stamford, CT 06903 is not found","Sold - Aug 30, 2022","$800,000",4bed,2.5bath,"2,828sqft",1.15acre lot,/realestateandhomes-detail/96-Erickson-Dr_Stamford_CT_06903_M32302-51499
"Image for 28 Aspen Ledges Rd, Ridgefield, CT 06877 is not found","Sold - Aug 29, 2022","$615,000",3bed,2bath,"1,288sqft",1.21acre lot,/realestateandhomes-detail/28-Aspen-Ledges-Rd_Ridgefield_CT_06877_M36099-81823
"Image for 44 E Starrs Plain Rd, Danbury, CT 06810 is not found","Sold - Aug 29, 2022","$575,000",3bed,2.5bath,"2,240sqft",1.89acre lot,/realestateandhomes-detail/44-E-Starrs-Plain-Rd_Danbury_CT_06810_M30587-15142
"Image for 8 Dawning Ln, Ossining, NY 10562 is not found","Sold - Aug 29, 2022","$720,000",4bed,2.5bath,"2,436sqft",2.06acre lot,/realestateandhomes-detail/8-Dawning-Ln_Ossining_NY_10562_M40515-77586
"Image for 136 Roaring Brook Rd, Chappaqua, NY 10514 is not found","Sold - Aug 29, 2022","$585,000",4bed,2bath,"1,804sqft",1.03acre lot,/realestateandhomes-detail/136-Roaring-Brook-Rd_Chappaqua_NY_10514_M33413-41732
"Image for 201 Range Rd, Wilton, CT 06897 is not found","Sold - Aug 26, 2022","$710,000",4bed,3bath,"2,390sqft",2.2acre lot,/realestateandhomes-detail/201-Range-Rd_Wilton_CT_06897_M43557-36492
"Image for 12 Cel Bret Dr, Danbury, CT 06810 is not found","Sold - Aug 25, 2022","$522,000",3bed,2.5bath,"1,234sqft",1.19acre lot,/realestateandhomes-detail/12-Cel-Bret-Dr_Danbury_CT_06810_M36435-03685
"Image for 23 Little Brook Ln, Newtown, CT 06470 is not found","Sold - Aug 25, 2022","$475,000",3bed,2bath,"2,265sqft",1.08acre lot,/realestateandhomes-detail/23-Little-Brook-Ln_Newtown_CT_06470_M38129-72744
"Image for 11 Strawberry Hill Rd, Danbury, CT 06811 is not found","Sold - Aug 25, 2022","$630,000",4bed,2.5bath,"2,077sqft",1.01acre lot,/realestateandhomes-detail/11-Strawberry-Hill-Rd_Danbury_CT_06811_M48300-88560
"Image for 57 Chatham Rd, Stamford, CT 06903 is not found","Sold - Aug 24, 2022","$760,000",4bed,3bath,"2,632sqft",1.03acre lot,/realestateandhomes-detail/57-Chatham-Rd_Stamford_CT_06903_M32917-37155
"Image for 4 Red Oak Ln, Norwalk, CT 06850 is not found","Sold - Aug 23, 2022","$760,000",3bed,2.5bath,"2,785sqft",1.1acre lot,/realestateandhomes-detail/4-Red-Oak-Ln_Norwalk_CT_06850_M47582-54160
"Image for 473 Moose Hill Rd, Monroe, CT 06468 is not found","Sold - Aug 23, 2022","$750,000",4bed,2.5+bath,"4,516sqft",2.38acre lot,/realestateandhomes-detail/473-Moose-Hill-Rd_Monroe_CT_06468_M49081-18368
