|Address|price|other|agent|beds|baths|sqft|zip code|Report|typ|lat|lon|locality|Date|price1
0|500 1st Ave Kingston, NY 12401|$299,999|Error|Error|3bd|2ba|1,834 sqft|12401|20210916Trulia_Scraped_Listings.csv|||||20210916|299999.0
1|135 Harry Wells Rd Saugerties, NY 12477|$99,000|Error|Error|3bd|2ba|1,791 sqft|12477|20210916Trulia_Scraped_Listings.csv|||||20210916|99000.0
4|118 Lake Walton Rd Hopewell Junction, NY 12533|$474,900|Error|Error|3bd|2ba|2,850 sqft|12533|20210916Trulia_Scraped_Listings.csv|||||20210916|474900.0
6|18 Lynne Rd Hopewell Junction, NY 12533|$539,900|Error|Error|4bd|3ba|3,200 sqft|12533|20210916Trulia_Scraped_Listings.csv|||||20210916|539900.0
8|339 Stone Mill Rd Hudson, NY 12534|$315,000|Error|Error|4bd|2ba|2,338 sqft|12534|20210916Trulia_Scraped_Listings.csv|||||20210916|315000.0
9|9 Nanuk Rd Hopewell Junction, NY 12533|$425,000|Error|Error|3bd|3ba|2,200 sqft|12533|20210916Trulia_Scraped_Listings.csv|||||20210916|425000.0
10|95 Whiteford Dr Pleasant Valley, NY 12569|$400,000|Error|Error|4bd|3ba|2,768 sqft|12569|20210916Trulia_Scraped_Listings.csv|||||20210916|400000.0
11|28 Woodcrest Ln Marlboro, NY 12547|$400,000|Error|Error|12bd|5ba|5,468 sqft|12547|20210916Trulia_Scraped_Listings.csv|||||20210916|400000.0
12|1118 Old Post Rd Esopus, NY 12561|$574,900|Error|Error|4bd|4ba|2,872 sqft|12561|20210916Trulia_Scraped_Listings.csv|||||20210916|574900.0
13|24 Sand Dr Lagrangeville, NY 12540|$430,000|Error|Error|3bd|2ba|2,416 sqft|12540|20210916Trulia_Scraped_Listings.csv|||||20210916|430000.0
14|62 Pleasant Rd Lake Peekskill, NY 10537|$399,000|Error|Error|2bd|2ba|1,301 sqft|10537|20210916Trulia_Scraped_Listings.csv|||||20210916|399000.0
15|1 Buckwheat Rd Germantown, NY 12526|$425,000|Error|Error|5bd|2ba|3,040 sqft|12526|20210916Trulia_Scraped_Listings.csv|||||20210916|425000.0
16|468 Route 82 Hudson, NY 12534|$329,000|Error|Error|3bd|2ba|2,283 sqft|12534|20210916Trulia_Scraped_Listings.csv|||||20210916|329000.0
17|573 N Quaker Ln Hyde Park, NY 12538|$299,000|Error|Error|4bd|2ba|2,200 sqft|12538|20210916Trulia_Scraped_Listings.csv|||||20210916|299000.0
18|180 N Fostertown Dr Newburgh, NY 12550|$500,000|Error|Error|4bd|3ba|2,464 sqft|12550|20210916Trulia_Scraped_Listings.csv|||||20210916|500000.0
19|979 Creek Locks Rd Rosendale, NY 12472|$325,000|Error|Error|3bd|3ba|2,631 sqft|12472|20210916Trulia_Scraped_Listings.csv|||||20210916|325000.0
20|87 Lovell St Mahopac, NY 10541|$599,000|Error|Error|3bd|2ba|2,327 sqft|10541|20210916Trulia_Scraped_Listings.csv|||||20210916|599000.0
21|511 Lefever Falls Rd Rosendale, NY 12472|$220,000|Error|Error|3bd|3ba|1,782 sqft|12472|20210916Trulia_Scraped_Listings.csv|||||20210916|220000.0
22|117 Dorn Rd Lagrangeville, NY 12540|$399,000|Error|Error|4bd|2ba|2,148 sqft|12540|20210916Trulia_Scraped_Listings.csv|||||20210916|399000.0
23|209 Overlook Rd Poughkeepsie, NY 12603|$275,000|Error|Error|3bd|2ba|1,706 sqft|12603|20210916Trulia_Scraped_Listings.csv|||||20210916|275000.0
24|430 Vassar Rd Poughkeepsie, NY 12603|$325,000|Error|Error|3bd|1ba|1,944 sqft|12603|20210916Trulia_Scraped_Listings.csv|||||20210916|325000.0
25|95 Spruce Ln Clinton Corners, NY 12514|$430,000|Error|Error|4bd|3ba|2,166 sqft|12514|20210916Trulia_Scraped_Listings.csv|||||20210916|430000.0
26|76 S Chodikee Lake Rd Lloyd, NY 12528|$101,000|Error|Error|3bd|Error|2,910 sqft|12528|20210916Trulia_Scraped_Listings.csv|||||20210916|101000.0
