,price,typ,lat,lon,beds,baths,sqft,zip code,locality,solddate
"9 Bristle Ln Sandy Hook, CT 06482","$555,000",SingleFamilyResidence,41.416084,-73.256088,4bd,Error,Error,06482,Sandy Hook,"JUL 5, 2022"
"11 Willow Run Brookfield, CT 06804","$460,000",SingleFamilyResidence,41.448055,-73.386833,3bd,Error,Error,06804,Brookfield,"JUL 5, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"35 Granite Springs Rd Granite Springs, NY 10527","$700,000",SingleFamilyResidence,41.310276,-73.756554,4bd,Error,Error,10527,Granite Springs,"JUL 5, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"342 Mountain Rd Jefferson Valley, NY 10535","$630,000",SingleFamilyResidence,41.339371,-73.796356,3bd,Error,Error,10535,Jefferson Valley,"JUL 5, 2022"
"6 Botsford Ln Newtown, CT 06470","$595,000",SingleFamilyResidence,41.361198,-73.264053,3bd,Error,Error,06470,Newtown,"JUL 5, 2022"
"41B Secor Rd Brookfield, CT 06804","$555,000",SingleFamilyResidence,41.431461,-73.382286,4bd,Error,Error,06804,Brookfield,"JUL 5, 2022"
"1 Tompkins Rd Yorktown Heights, NY 10598","$465,000",SingleFamilyResidence,41.323696,-73.736359,2bd,Error,Error,10598,Yorktown Heights,"JUL 5, 2022"
"56 Beach Hill Rd Trumbull, CT 06611","$487,500",SingleFamilyResidence,41.286152,-73.222321,3bd,Error,Error,06611,Trumbull,"JUL 5, 2022"
"151 Brushy Hill Rd Danbury, CT 06810","$510,000",SingleFamilyResidence,41.360874,-73.44503,4bd,Error,Error,06810,Danbury,"JUL 5, 2022"
"33 Key Rock Rd Newtown, CT 06470","$566,000",SingleFamilyResidence,41.373489,-73.333626,4bd,Error,Error,06470,Newtown,"JUL 1, 2022"
"34 Somerset Ln Putnam Valley, NY 10579","$490,000",SingleFamilyResidence,41.360561,-73.821213,3bd,Error,Error,10579,Putnam Valley,"JUL 1, 2022"
"66 Peter Rd Brewster, NY 10509","$580,000",SingleFamilyResidence,41.393402,-73.652634,4bd,Error,Error,10509,Brewster,"JUL 1, 2022"
"7 Glen Rd New Fairfield, CT 06812","$495,000",SingleFamilyResidence,41.454494,-73.485252,3bd,Error,Error,06812,New Fairfield,"JUL 1, 2022"
"6 Hillsdale Ave Ridgefield, CT 06877","$640,000",SingleFamilyResidence,41.291901,-73.496849,3bd,Error,Error,06877,Ridgefield,"JUL 1, 2022"
"13 Bigelow Rd New Fairfield, CT 06812","$589,500",SingleFamilyResidence,41.475384,-73.505196,4bd,Error,Error,06812,New Fairfield,"JUL 1, 2022"
"9 Walnut Ridge Rd New Fairfield, CT 06812","$676,500",SingleFamilyResidence,41.477676,-73.486343,4bd,Error,Error,06812,New Fairfield,"JUL 1, 2022"
"32 Beacon Hill Ter Bethel, CT 06801","$474,000",SingleFamilyResidence,41.368816,-73.432312,3bd,Error,"2,151 sqft",06801,Bethel,"JUL 1, 2022"
"22 Osage Dr E Ossining, NY 10562","$525,000",SingleFamilyResidence,41.16301,-73.839821,3bd,Error,Error,10562,Ossining,"JUL 1, 2022"
"70 Tulip Rd Mahopac, NY 10541","$535,000",SingleFamilyResidence,41.366169,-73.737518,4bd,Error,Error,10541,Mahopac,"JUL 1, 2022"
"11 Granite Springs Rd Granite Springs, NY 10527","$699,900",SingleFamilyResidence,41.312504,-73.750565,4bd,Error,Error,10527,Granite Springs,"JUL 1, 2022"
"20 Rustic Rd Ridgefield, CT 06877","$555,000",SingleFamilyResidence,41.331726,-73.487076,4bd,Error,Error,06877,Ridgefield,"JUL 1, 2022"
"138 High Ridge Rd Fairfield, CT 06825","$675,000",SingleFamilyResidence,41.189693,-73.251068,4bd,Error,Error,06825,Fairfield,"JUL 1, 2022"
"25 Raymonds Dr Fairfield, CT 06824","$625,000",SingleFamilyResidence,41.166798,-73.240562,3bd,Error,Error,06824,Fairfield,"JUL 1, 2022"
"41 Oakhill Ave Norwalk, CT 06854","$600,000",SingleFamilyResidence,41.096947,-73.441719,5bd,Error,Error,06854,Norwalk,"JUL 1, 2022"
"10 Wilkes Rd Danbury, CT 06811","$576,000",SingleFamilyResidence,41.449814,-73.472107,4bd,Error,Error,06811,Danbury,"JUL 1, 2022"
"9A Tory Ln Newtown, CT 06470","$525,000",SingleFamilyResidence,41.418785,-73.346962,2bd,Error,Error,06470,Newtown,"JUL 1, 2022"
"87 Lake Ave Trumbull, CT 06611","$475,000",SingleFamilyResidence,41.262169,-73.230736,3bd,Error,Error,06611,Trumbull,"JUL 1, 2022"
"41 West Rd Newtonville, NY 10590","$550,000",SingleFamilyResidence,41.206539,-73.51741,3bd,Error,Error,10590,Newtonville,"JUL 1, 2022"
"1754 Strawberry Rd Mohegan Lake, NY 10547","$650,000",SingleFamilyResidence,41.327595,-73.858887,5bd,Error,Error,10547,Mohegan Lake,"JUN 30, 2022"
"20 Woodland Rd Bedford Hills, NY 10507","$635,000",SingleFamilyResidence,41.230587,-73.705513,3bd,Error,Error,10507,Bedford Hills,"JUN 30, 2022"
"34 Warwick Rd New Fairfield, CT 06812","$640,000",SingleFamilyResidence,41.477871,-73.520294,4bd,Error,Error,06812,New Fairfield,"JUN 30, 2022"
"10 Kermit St Norwalk, CT 06851","$450,000",SingleFamilyResidence,41.12611,-73.399643,3bd,Error,Error,06851,Norwalk,"JUN 30, 2022"
"31 Skyline Dr Danbury, CT 06810","$460,000",SingleFamilyResidence,41.395512,-73.42569,4bd,Error,Error,06810,Danbury,"JUN 30, 2022"
"175 Dunn Ave Stamford, CT 06905","$545,000",SingleFamilyResidence,41.10918,-73.549179,2bd,Error,Error,06905,Stamford,"JUN 30, 2022"
"119 Westford Dr Southport, CT 06890","$510,000",SingleFamilyResidence,41.134567,-73.29245,4bd,Error,Error,06890,Southport,"JUN 30, 2022"
"233 Sport Hill Rd Easton, CT 06612","$616,000",SingleFamilyResidence,41.236053,-73.26741,4bd,Error,Error,06612,Easton,"JUN 30, 2022"
"5205 Madison Ave Trumbull, CT 06611","$660,000",SingleFamilyResidence,41.287731,-73.263115,4bd,Error,Error,06611,Trumbull,"JUN 30, 2022"
"97 Coventry Ln Trumbull, CT 06611","$700,000",SingleFamilyResidence,41.295578,-73.248825,4bd,Error,Error,06611,Trumbull,"JUN 30, 2022"
"15 Blossom Ln Brewster, NY 10509","$570,000",SingleFamilyResidence,41.460709,-73.585899,3bd,Error,Error,10509,Brewster,"JUN 30, 2022"
"1 Hoyt Rd Bethel, CT 06801","$560,000",SingleFamilyResidence,41.391468,-73.394958,4bd,Error,Error,06801,Bethel,"JUN 30, 2022"
"7 Grand Pl Newtown, CT 06470","$585,000",SingleFamilyResidence,41.411041,-73.297585,4bd,Error,Error,06470,Newtown,"JUN 30, 2022"
"321 Judd St Fairfield, CT 06824","$620,000",SingleFamilyResidence,41.175392,-73.247513,3bd,Error,Error,06824,Fairfield,"JUN 30, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"56 Old Redding Rd Weston, CT 06883","$600,000",SingleFamilyResidence,41.225174,-73.332336,4bd,Error,Error,06883,Weston,"JUN 30, 2022"
"36 Old Farm Rd New Fairfield, CT 06812","$551,000",SingleFamilyResidence,41.45433,-73.498299,3bd,Error,Error,06812,New Fairfield,"JUN 30, 2022"
"1 Hoyt Rd Bethel, CT 06801","$560,000",SingleFamilyResidence,41.391468,-73.394958,4bd,Error,Error,06801,Bethel,"JUN 30, 2022"
"37 Paul St Danbury, CT 06810","$524,000",SingleFamilyResidence,41.355907,-73.459793,3bd,Error,Error,06810,Danbury,"JUN 30, 2022"
"6 Carlyle Dr Danbury, CT 06811","$520,000",SingleFamilyResidence,41.438858,-73.449188,3bd,Error,Error,06811,Danbury,"JUN 30, 2022"
"393 Flax Hill Rd Norwalk, CT 06854","$575,000",SingleFamilyResidence,41.09211,-73.439941,3bd,Error,Error,06854,Norwalk,"JUN 30, 2022"
"97 Coventry Ln Trumbull, CT 06611","$700,000",SingleFamilyResidence,41.295578,-73.248825,4bd,Error,Error,06611,Trumbull,"JUN 30, 2022"
"15 Blossom Ln Brewster, NY 10509","$570,000",SingleFamilyResidence,41.460709,-73.585899,3bd,Error,Error,10509,Brewster,"JUN 30, 2022"
"17 Alton Rd Stamford, CT 06906","$675,000",SingleFamilyResidence,41.07518,-73.530434,3bd,Error,Error,06906,Stamford,"JUN 30, 2022"
"23 Valley View Rd Newtown, CT 06470","$625,000",SingleFamilyResidence,41.399433,-73.308304,4bd,Error,Error,06470,Newtown,"JUN 29, 2022"
