Period,VNQ,UNEMP,Months of Supply,Homes for Sale,Homes for Sale NE,CONST,Consumption,Disposable Income,HPI
2004-10-01,185.849993,5.5,3.9,414,29,551137,8397.1,10707.4,155.75
2004-11-01,193.2000035,5.4,4.3,423,30,550392,8444.5,10677.3,157.527
2004-12-01,197.9249965,5.4,4.1,431,30,566284,8504.4,11072.9,159.33
2005-01-01,180.9849965,5.3,4.4,441,32,575650,8497.7,10670.3,161.288
2005-02-01,186.724993,5.4,4.3,439,32,588435,8559.1,10677.1,163.344
2005-03-01,181.37,5.2,4.1,441,33,591580,8598.4,10717.4,165.812
2005-04-01,191.8350035,5.2,4.3,441,33,598335,8678.4,10751.9,167.501
2005-05-01,198.590007,5.1,4.2,448,36,603707,8671.6,10799.8,169.351
2005-06-01,205.4500035,5,4.3,458,38,616958,8753.4,10824.4,171.19
2005-07-01,220.1149965,5,4.2,459,40,628750,8853.8,10839,172.859
2005-08-01,211.19,4.9,4.5,477,42,633710,8850.1,10856.6,174.44
2005-09-01,211.5750035,5,4.7,491,45,647374,8900.4,10815.7,176.437
2005-10-01,205.4849965,5,4.5,492,44,658590,8938.5,10870.2,178.027
2005-11-01,214.025007,5,5,508,45,665376,8946.2,10937.8,179.682
2005-12-01,208.4600035,4.9,4.9,515,47,670522,8981.1,10976.2,180.91
2006-01-01,224.1750105,4.7,5.3,525,49,675679,9071.6,11096.7,182.32
2006-02-01,228.339993,4.8,6.1,533,50,678562,9096,11151.4,183.286
2006-03-01,237.719993,4.7,5.9,550,53,668311,9132.9,11195.7,184.363
2006-04-01,229.6350035,4.7,6.3,558,53,650388,9191.6,11190.3,184.328
2006-05-01,223.44,4.6,6.2,563,54,633815,9231.8,11182.7,184.156
2006-06-01,232.0500105,4.6,6.3,570,54,615053,9259.6,11198.2,183.507
2006-07-01,241.0799895,4.7,7.3,568,54,598487,9343.8,11196.3,183.067
2006-08-01,249.4799965,4.7,6.7,570,53,584460,9342.2,11189.6,182.594
