Title,Date,Price,Bedrooms,Link,ZipCode
Huge spacious Newly Renovated 2 bedroom close to All,2020-02-08 09:01,$1999,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-spacious-newly-renovated/7071392666.html,11212
very Spacious apartment in Brownsville,2020-02-08 04:41,$1750,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-very-spacious-apartment-in/7071341840.html,11212
Very Nice 1 Bed in Brownsville!High Ceilings!Spacious!Natural Light!**,2020-02-07 14:35,$1800,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-very-nice-1-bed-in/7070993844.html,11212
Brand new LARGE 2 bedroom in a new building with roof access.,2020-02-07 13:01,$2300,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-large-2-bedroom-in/7070910116.html,11212
This is a classic pre-war 1 bed,2020-02-07 12:55,$1800,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-this-is-classic-pre-war-1-bed/7070904016.html,11212
Nice 2 bed apartment (NO FEE),2020-02-07 07:55,$2050,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-nice-2-bed-apartment-no-fee/7070699588.html,11212
"Huge space, this large 1br on ground floor is exactly what you need.",2020-02-06 17:24,$2050,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-space-this-large-1br-on/7070458101.html,11212
**$2150 ***Very Spacious 2 bedroom Apartment,2020-02-06 14:19,$2150,2br - ,https://newyork.craigslist.org/que/apa/d/brooklyn-2150-very-spacious-2-bedroom/7070321225.html,11212
Brownsville beautiful sunny 3 bedroom apartment,2020-02-05 23:59,$2200,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-brownsville-beautiful-sunny-3/7069992188.html,11212
NO FEE! Large 2BR w Private Balcony in Brand New Bldg w Laundry+Garage,2020-02-04 20:50,$2250,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-large-2br-private/7069285967.html,11212
Large 3 bedroom 2 full bath. No fee,2020-02-02 11:16,$2600,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-3-bedroom-2-full-bath-no/7067692758.html,11212
***Very Spacious 2 bedroom Apartment,2020-02-01 14:56,$2150,2br - ,https://newyork.craigslist.org/que/apa/d/brooklyn-very-spacious-2-bedroom/7067303198.html,11212
💫Great 1 BR in Crown Heights. NO FEE💫,2020-01-31 15:27,$1750,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-great-1-br-in-crown-heights-no/7066703178.html,11212
amazing one bedroom in crown heights won't last,2020-01-30 15:29,$1750,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-one-bedroom-in-crown/7066075765.html,11212
NO FEE! Large 2BR w Private Balcony in Brand New Bldg w Laundry+Garage,2020-01-29 13:03,$2250,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-large-2br-private/7065330507.html,11212
Spacious 3 Bedroom Apartment,2020-01-27 23:40,$2500,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-3-bedroom-apartment/7064414843.html,11212
Spacious 2bdrm apt w/private parking and yard,2020-01-26 11:37,$2250,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-2bdrm-apt-private/7063378984.html,11212
Gorgeous 3 Bedroom* Newly Renovated* Central Air* By Owner,2020-01-24 20:41,$1950,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-3-bedroom-newly/7062547214.html,11212
2 bedroom/ no fee /,2020-01-24 14:37,$1875,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-2-bedroom-no-fee/7062314103.html,11212
1 bath Available Now,2020-01-22 08:03,$2000,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-1-bath-available-now/7060755345.html,11212
1 Bath Available Now,2020-01-22 08:01,$1800,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-1-bath-available-now/7060754681.html,11212
**$2150 ***Very Spacious 2 bedroom Apartment,2020-01-19 21:43,$2150,2br - ,https://newyork.craigslist.org/que/apa/d/brooklyn-2150-very-spacious-2-bedroom/7059318734.html,11212
Spacious 2 bedroom for Rent,2020-01-15 18:34,$1800,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-2-bedroom-for-rent/7056836666.html,11212
NO FEE! Large 2BR w Private Balcony in Brand New Bldg w Laundry+Garage,2020-01-15 12:18,$2250,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-large-2br-private/7056557147.html,11212
Renovated 2 bed Train 1 min walk,2020-01-14 13:00,$1800,,https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-2-bed-train-1-min/7055952086.html,11212
UNDER-MARKET VALUE APARTMENT CLOSE TO SHOPS AND TRAINS,2020-01-14 07:01,$1800,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-under-market-value-apartment/7055740394.html,11212
1 Bath Available Now,2020-01-13 14:07,$1800,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-1-bath-available-now/7055348916.html,11212
